topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
 source,a thigh,a boot,a boot,,trial,,,3082.5,1,2473,111,2022-06-01T16:59:36.068Z
to read,a boot,a thigh,to read,,trial,,,3316.0999999940395,1,2483,112,2022-06-01T16:59:39.384Z
a boot,to read,a fish,a fish,,trial,,,3027.9000000059605,1,2484,113,2022-06-01T16:59:42.412Z
 chest,a fish,to read, chest,,trial,,,3619.5999999940395,1,2494,114,2022-06-01T16:59:46.031Z
chicken,goat,seal,,42,feedback,,,11681.199999988079,1,2495,115,2022-06-01T16:59:57.715Z
a bed,blue,a shoe,a shoe,,trial,,,5558.5,1,2568,116,2022-06-01T17:00:10.951Z
a nest,a shoe,blue,a nest,,trial,,,4809.200000017881,1,2578,117,2022-06-01T17:00:15.760Z
a shoe,a nest,a roof,a roof,,trial,,,3322.199999988079,1,2579,118,2022-06-01T17:00:19.082Z
a heel,a roof,a nest,a heel,,trial,,,4102.4000000059605,1,2589,119,2022-06-01T17:00:23.184Z
a roof,a heel,to lose,to lose,,trial,,,2863.5999999940395,1,2590,120,2022-06-01T17:00:26.048Z
to win,to lose,a heel,to win,,trial,,,4554,1,2600,121,2022-06-01T17:00:30.602Z
chicken,duck,crocodile,,86,feedback,,,11494.199999988079,1,2601,122,2022-06-01T17:00:42.099Z
a business,to arrive, people, people,,trial,,,6933.800000011921,1,2698,123,2022-06-01T17:00:55.766Z
 clever, people,to arrive, clever,,trial,,,3532.5,1,2708,124,2022-06-01T17:00:59.298Z
 people, clever,red,red,,trial,,,3493.899999976158,1,2709,125,2022-06-01T17:01:02.792Z
a shoe,red, clever,a shoe,,trial,,,4398.100000023842,1,2719,126,2022-06-01T17:01:07.190Z
red,a shoe,a knife,a knife,,trial,,,2722.899999976158,1,2720,127,2022-06-01T17:01:09.913Z
 sad,a knife,a shoe, sad,,trial,,,3050.300000011921,1,2730,128,2022-06-01T17:01:12.964Z
turtle,dolphin,cougar,,48,feedback,,,14363.199999988079,1,2731,129,2022-06-01T17:01:27.330Z
to forget, dish, chest, chest,,trial,,,3469.800000011921,1,2806,130,2022-06-01T17:01:34.878Z
a boot, chest, dish,a boot,,trial,,,4831.699999988079,1,2816,131,2022-06-01T17:01:39.710Z
 chest,a boot,to read,to read,,trial,,,4996.4000000059605,1,2817,132,2022-06-01T17:01:44.706Z
a fish,to read,a boot,a fish,,trial,,,4747.800000011921,1,2827,133,2022-06-01T17:01:49.454Z
to read,a fish, chest,to read,,trial,,,3472.0999999940395,1,2828,134,2022-06-01T17:01:52.926Z
chimp,goat,chicken,,53,feedback,,,9428.699999988079,1,2829,135,2022-06-01T17:02:02.357Z
yellow,a story,a fish,a fish,,trial,,,5308.5,1,2920,136,2022-06-01T17:02:10.700Z
 meat,a fish,a story, meat,,trial,,,2621.5999999940395,1,2930,137,2022-06-01T17:02:13.321Z
a fish, meat, chest,a fish,,trial,,,3330.100000023842,1,2931,138,2022-06-01T17:02:16.651Z
rattlesnake,bat,cougar,,45,feedback,,,9751.5,1,2932,139,2022-06-01T17:02:26.405Z
a roof,a nest, money,a roof,,trial,,,5493.200000017881,1,2998,140,2022-06-01T17:02:37.519Z
a nest,a roof,a heel,a heel,,trial,,,4366,1,2999,141,2022-06-01T17:02:41.885Z
