sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"100,100,100,100","true,true,true,true","2437.2999999523163,3777.2000000476837,2026.1000000238419,2105.899999976158",50,"train,train,train,train",100,12,0,type3,"belt,belt,belt,belt","shirt,gloves,coat,necklace",50% type 1/50% type 3,37,46
"100,100,100,100","true,true,true,true","8668.700000047684,1691.5,1721.5,2041.8999999761581",50,"allow,allow,allow,allow",100,12,0,type3,"chair,chair,chair,chair","couch,cushion,desk,cabinet",50% type 1/50% type 3,48,47
"100,100,0,100","true,true,true,true","3387.5,1910.8000000715256,5243.5,6746.299999952316",50,"fox,fox,fox,fox",100,12,0,type1,"dolphin,dolphin,dolphin,dolphin","clam,octopus,snail,turtle",50% type 1/50% type 3,12,48
"28,29,25,24","true,true,true,true","4841.200000047684,3519.399999976158,3948.2999999523163,3597.399999976158",50,"door,door,door,door",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","couch,cushion,desk,chair",50% type 1/50% type 3,32,49
"50,90,100,0",",true,true,true",",5575.200000047684,5033.399999976158,7093.899999976158",50,"knife,knife,knife,knife",100,12,0,type1,"oven,oven,oven,oven","fork,pot,dish,scissors",50% type 1/50% type 3,8,50
"82,84,81,81","true,true,true,true","4376.299999952316,4769.899999976158,3293.3000000715256,2819.0999999046326",50,"work,work,work,work",100,12,0,type1,"make,make,make,make","allow,use,exist,find",50% type 1/50% type 3,27,51
"0,0,0,0","true,true,true,true","3142.600000023842,2216.899999976158,2254.3000000715256,2412.1999999284744",50,"oven,oven,oven,oven",100,12,0,type3,"shirt,shirt,shirt,shirt","fork,knife,dish,scissors",50% type 1/50% type 3,38,52
"0,0,0,0","true,true,true,true","3329.2000000476837,2472.600000023842,2668.399999976158,2565",50,"zebra,zebra,zebra,zebra",100,12,0,type3,"pen,pen,pen,pen","lion,snail,octopus,turtle",50% type 1/50% type 3,54,53
"100,100,100,100","true,true,true,true","11620.600000023842,1761.2999999523163,1897.8000000715256,3480.100000023842",50,"cushion,cushion,cushion,cushion",100,12,0,type3,"work,work,work,work","make,use,allow,protect",50% type 1/50% type 3,57,54
"0,0,0,0","true,true,true,true","6111.699999928474,4971.5,5927.100000023842,2929.600000023842",50,"fork,fork,fork,fork",100,12,0,type3,"gloves,gloves,gloves,gloves","dish,pot,scissors,knife",50% type 1/50% type 3,45,55
"16,89,0,68","true,true,true,true","5119.399999976158,7862.699999928474,3263.7000000476837,3793.2999999523163",50,"shirt,shirt,shirt,shirt",100,12,0,type1,"necklace,necklace,necklace,necklace","dress,belt,coat,gloves",50% type 1/50% type 3,17,56
"23,20,16,0","true,true,true,true","9107.799999952316,2926.8000000715256,2550.7999999523163,2526.7999999523163",50,"doll,doll,doll,doll",100,12,0,type3,"zebra,zebra,zebra,zebra","pen,radio,toy,hammer",50% type 1/50% type 3,56,57
"72,100,75,100","true,true,true,true","3429.7000000476837,2404.7999999523163,3396.8000000715256,2221.7999999523163",50,"scissors,scissors,scissors,scissors",100,12,0,type1,"dish,dish,dish,dish","fork,oven,knife,pot",50% type 1/50% type 3,29,58
"0,32,0,0","true,true,true,true","3263.7000000476837,3112.5,2457.100000023842,2680.399999976158",50,"dish,dish,dish,dish",100,12,0,type3,"dress,dress,dress,dress","knife,scissors,pot,fork",50% type 1/50% type 3,59,59
"93,100,11,50","true,true,true,false","4208.700000047684,4553.799999952316,4655.100000023842,4123.5",50,"pot,pot,pot,pot",100,12,0,type1,"knife,knife,knife,knife","fork,scissors,oven,dish",50% type 1/50% type 3,22,60
"75,86,5,87","true,true,true,true","4617.899999976158,2572.100000023842,3485.6999999284744,2751.2000000476837",50,"ship,ship,ship,ship",100,12,0,type1,"train,train,train,train","wagon,bike,submarine,airplane",50% type 1/50% type 3,16,61
"78,100,94,84",",true,true,true",",4780,6217.5,4120.699999928474",50,"door,door,door,door",100,12,0,type1,"chair,chair,chair,chair","cabinet,cushion,desk,couch",50% type 1/50% type 3,25,62
"0,87,0,0","true,true,true,true","5249.800000071526,4700.199999928474,2673.3000000715256,4166.299999952316",50,"ship,ship,ship,ship",100,12,0,type1,"wagon,wagon,wagon,wagon","submarine,bike,airplane,train",50% type 1/50% type 3,9,63
"45,65,72,76","false,true,true,true","5199.5,3592.100000023842,2392.5,1972.7999999523163",50,"radio,radio,radio,radio",100,12,0,type1,"pen,pen,pen,pen","brush,hammer,doll,toy",50% type 1/50% type 3,28,64
"0,0,0,0","true,true,true,true","3208.100000023842,2158.899999976158,2226,2438.399999976158",50,"shirt,shirt,shirt,shirt",100,12,0,type3,"dish,dish,dish,dish","belt,gloves,dress,coat",50% type 1/50% type 3,58,65
"100,100,100,100","true,true,true,true","3071.899999976158,1761.6000000238419,1984.1000000238419,2170.1999999284744",50,"dish,dish,dish,dish",100,12,0,type3,"train,train,train,train","submarine,airplane,ship,bike",50% type 1/50% type 3,39,66
